,IDBI,CANBK,BPCL,ADANIPORTS,MRF,HDFCAMC,BANKBARODA,KARURVYSYA,UNIONBANK,IFCI
IDBI,1.0,0.9524208981816434,0.9455436363178928,0.9420295044073604,0.931192476959876,0.9287258929638356,0.9277571259147894,0.9270382668388031,0.925767529721838,0.9235586811902248
CANBK,0.9524208981816434,1.0,0.9467090956088565,0.9528186535584943,0.9335702276361769,0.9112309841085634,0.9731944364747475,0.9127265515079496,0.9557603756113938,0.900783220099122
BPCL,0.9455436363178928,0.9467090956088565,1.0,0.9563859497969125,0.9004842997254634,0.9342701030640946,0.9179492420870438,0.9356829091346328,0.8816458992031109,0.9318033558798846
ADANIPORTS,0.9420295044073604,0.9528186535584943,0.9563859497969125,1.0,0.89407992593662,0.895810624706791,0.9274682555782492,0.8860914969728311,0.9101647277505844,0.9360799950218155
MRF,0.931192476959876,0.9335702276361769,0.9004842997254634,0.89407992593662,1.0,0.9042839211194995,0.9161100263083318,0.87596348507401,0.9178602195833057,0.8247811532979599
HDFCAMC,0.9287258929638356,0.9112309841085634,0.9342701030640946,0.895810624706791,0.9042839211194995,1.0,0.8687223966942741,0.9741731246532975,0.8643407317789119,0.8620786106058453
BANKBARODA,0.9277571259147894,0.9731944364747475,0.9179492420870438,0.9274682555782492,0.9161100263083318,0.8687223966942741,1.0,0.8750511739308799,0.9393432862135973,0.8776084868970127
KARURVYSYA,0.9270382668388031,0.9127265515079496,0.9356829091346328,0.8860914969728311,0.87596348507401,0.9741731246532975,0.8750511739308799,1.0,0.8641790831432216,0.8886645657353821
UNIONBANK,0.925767529721838,0.9557603756113938,0.8816458992031109,0.9101647277505844,0.9178602195833057,0.8643407317789119,0.9393432862135973,0.8641790831432216,1.0,0.8434497063147243
IFCI,0.9235586811902248,0.900783220099122,0.9318033558798846,0.9360799950218155,0.8247811532979599,0.8620786106058453,0.8776084868970127,0.8886645657353821,0.8434497063147243,1.0
